feature,gain,weight
gender_1.0,222.31644248962402,37.0
user_buy_w14,221.41274642944336,111.0
age_range_3.0,221.23319625854492,67.0
pair_fav_w1,218.56217575073242,77.0
pair_click_w60,215.28905487060547,48.0
pair_click_w14,215.2255802154541,52.0
user_click_w1,214.39207077026367,276.0
user_fav_w3,212.25814819335938,121.0
pair_buy_share_user_w30,208.70991134643555,240.0
user_fav_w7,208.5880241394043,118.0
age_range_0.0,205.38560676574707,30.0
pair_action_w14,205.06511306762695,70.0
pair_fav_w60,195.93952560424805,14.0
age_range_4.0,195.28783798217773,42.0
user_buy_w1,191.1259002685547,177.0
user_cart_w180,190.7767562866211,27.0
user_cart_w14,189.46918296813965,12.0
pair_click_w7,184.18587112426758,77.0
age_range_7.0,182.58290100097656,16.0
pair_click_w1,181.78632926940918,229.0
pair_click_w30,177.7764663696289,54.0
pair_fav_w90,177.3410701751709,30.0
user_fav_w1,177.20240211486816,114.0
pair_click_w3,175.77108001708984,130.0
pair_fav_w7,167.9354763031006,46.0
pair_fav_w14,162.40949249267578,41.0
pair_fav_w3,153.27602577209473,44.0
pair_cart_w14,148.1528205871582,7.0
pair_pre1111_cart,144.66819763183594,5.0
pair_cart_w7,138.1846866607666,10.0
pair_fav_w30,126.64092445373535,22.0
pair_cart_w3,119.85166549682617,18.0
age_range_8.0,108.4496841430664,5.0
pair_cart_w180,80.11726379394531,2.0
pair_cart_w30,51.46487236022949,5.0
pair_cart_w60,43.93724060058594,1.0
pair_cart_w90,30.4090576171875,1.0
pair_cart_wall,27.069610595703125,1.0
pair_buy_w7,23.200311064720154,8.0
pair_buy_w14,12.021347045898438,3.0
