feature,coef
cat__gender_unk,-0.5045337384224059
cat__age_range_unk,-0.36009917254421386
cat__age_range_1.0,-0.3396619114931939
num__last7_buy_share,0.304838206716595
num__recent_activity_ratio,-0.20870097504896784
num__buy_rate_total,-0.20741351858354545
cat__age_range_2.0,-0.17764669429453125
cat__gender_2.0,0.16873801132784857
num__click_to_buy_rate,0.1666139138384207
cat__age_range_5.0,0.13164786649262114
cat__gender_0.0,0.11425503351893164
cat__age_range_6.0,0.11091541374827002
num__buy_rate_last7,-0.0970781039379586
cat__age_range_4.0,0.09165110729702701
cat__age_range_8.0,0.08822422896490009
num__fav_to_buy_rate,0.07312369335849062
cat__age_range_7.0,0.06991267241871572
num__total_cart,-0.04701456454806303
cat__age_range_3.0,-0.04575012464365808
num__last7_fav,0.03654497336819886
num__total_buy,-0.034280031232303915
num__last7_buy,-0.034280031232303915
num__total_click,0.031707758443416265
num__total_action,0.0251300752812277
num__last7_click,0.01829702369976113
num__total_fav,0.016960768742288638
num__last7_action,0.014134495128928334
num__last7_cart,0.009605686938849353
cat__age_range_0.0,0.005190464131648264
num__cart_to_buy_rate,-0.004327052214224082
cat__gender_1.0,-0.0006663965746123698
